,predictions,prob_0,prob_1,labels
0,1,0.49601007,0.50398993,1.0
1,0,0.8783373,0.121662654,0.0
2,0,0.9465231,0.0534769,1.0
3,0,0.930006,0.06999396,0.0
4,0,0.5076553,0.49234468,1.0
5,0,0.9845363,0.015463734,0.0
6,0,0.9782497,0.021750275,0.0
7,0,0.9190626,0.080937386,0.0
8,0,0.90790796,0.09209205,0.0
9,0,0.9706765,0.029323513,0.0
10,0,0.96743834,0.032561652,0.0
11,0,0.93913287,0.060867112,0.0
12,1,0.4169292,0.5830708,1.0
13,0,0.9227151,0.077284865,0.0
14,0,0.9184004,0.08159962,0.0
15,0,0.9589418,0.04105818,0.0
16,0,0.79424053,0.20575945,0.0
17,0,0.94451815,0.055481855,0.0
18,0,0.9040622,0.09593777,0.0
19,0,0.9255172,0.074482806,0.0
20,0,0.91874015,0.08125988,0.0
21,0,0.84904724,0.15095274,0.0
22,0,0.75986135,0.24013868,0.0
23,0,0.85487753,0.14512248,0.0
24,0,0.96510386,0.03489613,0.0
25,0,0.9544864,0.045513574,0.0
26,0,0.8365966,0.16340336,1.0
27,0,0.9467818,0.05321816,0.0
28,0,0.9303507,0.06964929,0.0
29,0,0.8661623,0.13383768,0.0
30,0,0.9258464,0.074153595,0.0
31,0,0.96510386,0.03489613,0.0
32,0,0.51342416,0.4865758,1.0
33,0,0.7200097,0.2799903,1.0
34,0,0.96510386,0.03489613,0.0
35,0,0.8777788,0.12222119,0.0
36,0,0.8799655,0.1200345,0.0
37,1,0.41770452,0.5822955,1.0
38,0,0.9845363,0.015463734,0.0
39,0,0.756931,0.24306901,0.0
40,0,0.8132843,0.18671575,1.0
41,0,0.8132843,0.18671575,1.0
42,0,0.93864477,0.061355237,0.0
43,0,0.6944929,0.30550712,1.0
44,0,0.9465231,0.0534769,0.0
45,0,0.8684985,0.13150148,0.0
46,0,0.94096804,0.059031967,0.0
47,0,0.9109122,0.08908778,1.0
48,0,0.81696916,0.18303084,0.0
49,0,0.8001545,0.19984548,0.0
50,0,0.9558958,0.044104222,0.0
51,0,0.9379015,0.06209852,0.0
52,0,0.7201693,0.27983072,1.0
53,0,0.71440166,0.28559834,1.0
54,0,0.8986916,0.10130843,0.0
55,0,0.87792087,0.122079164,0.0
56,0,0.89511436,0.104885615,0.0
57,1,0.35934675,0.64065325,0.0
58,0,0.88963735,0.110362634,1.0
59,0,0.9258464,0.074153595,0.0
60,0,0.8752825,0.12471746,0.0
61,0,0.9258464,0.074153595,0.0
62,0,0.930006,0.06999396,0.0
63,0,0.6908932,0.30910683,0.0
64,0,0.84876955,0.15123044,0.0
65,0,0.93947315,0.060526844,0.0
66,0,0.9930926,0.006907406,1.0
67,0,0.9727763,0.02722373,0.0
68,0,0.930006,0.06999396,0.0
69,1,0.31254476,0.68745524,0.0
70,0,0.6801238,0.31987622,0.0
71,0,0.75167793,0.24832208,1.0
72,0,0.9782497,0.021750275,0.0
73,0,0.808193,0.19180696,1.0
74,0,0.9711439,0.028856117,0.0
75,0,0.82080144,0.17919855,0.0
76,0,0.80158573,0.19841425,0.0
77,0,0.9144717,0.0855283,0.0
78,0,0.8458902,0.15410978,0.0
79,0,0.9465231,0.0534769,0.0
80,0,0.8081994,0.19180058,1.0
81,0,0.9820599,0.017940123,0.0
82,0,0.9040622,0.09593777,0.0
83,0,0.6642846,0.33571544,1.0
84,0,0.96510386,0.03489613,0.0
85,0,0.9845363,0.015463734,0.0
86,1,0.010498941,0.98950106,1.0
87,0,0.9465231,0.0534769,0.0
88,0,0.95094985,0.04905014,0.0
89,0,0.8229383,0.17706168,1.0
90,0,0.9782497,0.021750275,0.0
91,0,0.874306,0.12569399,0.0
92,0,0.857569,0.14243105,0.0
93,0,0.846085,0.153915,0.0
94,1,0.22266185,0.77733815,1.0
95,0,0.930006,0.06999396,0.0
96,0,0.6058264,0.39417362,0.0
97,0,0.6773305,0.32266954,0.0
98,0,0.96510386,0.03489613,0.0
99,1,0.040269077,0.9597309,0.0
100,1,0.30269927,0.69730073,0.0
